com.samsung.shealth.badge,6307003,1
number_of_streak,start_time,exercise_type,device_type,status,sleep_coaching_session_uuid,update_time,create_time,source_pkg_name,key,program_id,is_shown,time_offset,extra_data,deviceuuid,pkg_name,exercise_data_uuid,controller_id,end_time,datauuid
1,2024-12-28 08:00:00.000,,,1,,2024-12-28 13:53:46.720,2024-12-28 13:53:46.720,,sleep_excellent_sleep,,,UTC-0800,,3sHRV5oxWU,com.sec.android.app.shealth,,Sleep.Goal,2024-12-29 07:59:59.999,ffde3b1e-4abd-455a-bb05-752b3c326dfc,
1,2025-01-06 08:00:00.000,,,1,,2025-01-06 15:18:15.275,2025-01-06 15:18:15.275,,sleep_excellent_sleep,,,UTC-0800,,3sHRV5oxWU,com.sec.android.app.shealth,,Sleep.Goal,2025-01-07 07:59:59.999,91f35f8c-5e00-4c74-af7c-c229ac5a8777,
1,2025-01-07 08:00:00.000,,,1,,2025-01-07 15:15:06.778,2025-01-07 15:15:06.778,,sleep_excellent_sleep,,,UTC-0800,,3sHRV5oxWU,com.sec.android.app.shealth,,Sleep.Goal,2025-01-08 07:59:59.999,98c5daff-94e0-4e20-b367-7fbeecae26f5,
1,2025-01-05 08:00:00.000,,,1,,2025-01-05 16:06:07.243,2025-01-05 16:06:07.243,,sleep_excellent_sleep,,,UTC-0800,,3sHRV5oxWU,com.sec.android.app.shealth,,Sleep.Goal,2025-01-06 07:59:59.999,489a88c0-032c-45e4-9e35-e1e4100f6dfe,
1,2025-01-12 08:00:00.000,,,1,,2025-01-12 15:30:50.810,2025-01-12 15:30:50.810,,sleep_excellent_sleep,,,UTC-0800,,3sHRV5oxWU,com.sec.android.app.shealth,,Sleep.Goal,2025-01-13 07:59:59.999,89d7c6ae-c2ee-47c0-a4df-eaacecbc08c1,
,2025-01-13 00:00:00.000,,,1,,2025-01-14 14:39:07.117,2025-01-14 14:39:07.117,,vitality_first_measure,,,UTC+0000,,3sHRV5oxWU,com.sec.android.app.shealth,,tracker.vitality,2025-01-13 00:00:00.000,49b80fc0-9440-45e1-97f8-ffcd1c9868ce,
1,2025-01-20 08:00:00.000,,,1,,2025-01-20 14:39:34.216,2025-01-20 14:39:34.216,,sleep_excellent_sleep,,,UTC-0800,,3sHRV5oxWU,com.sec.android.app.shealth,,Sleep.Goal,2025-01-21 07:59:59.999,53165a87-3296-453d-afa9-d23330fe64a5,
,2025-01-20 00:00:00.000,,,1,,2025-01-20 14:39:35.701,2025-01-20 14:39:35.701,,vitality_good,,,UTC+0000,,3sHRV5oxWU,com.sec.android.app.shealth,,tracker.vitality,2025-01-20 00:00:00.000,33a1ec9a-261c-4b30-b2d5-aec3b8489402,
,2025-01-21 00:00:00.000,,,1,,2025-01-21 14:40:14.500,2025-01-21 14:40:14.500,,vitality_excellent,,,UTC+0000,,3sHRV5oxWU,com.sec.android.app.shealth,,tracker.vitality,2025-01-21 00:00:00.000,246a07f3-6b38-455f-b7ac-e8dcc08c9261,
1,2025-01-23 08:00:00.000,,,1,,2025-01-23 14:37:10.745,2025-01-23 14:37:10.745,,sleep_excellent_sleep,,,UTC-0800,,3sHRV5oxWU,com.sec.android.app.shealth,,Sleep.Goal,2025-01-24 07:59:59.999,8d488c06-ff2a-4dbc-9ec1-d4411a56d01f,
1,2025-01-26 08:00:00.000,,,1,,2025-01-26 14:40:45.516,2025-01-26 14:40:45.516,,sleep_excellent_sleep,,,UTC-0800,,3sHRV5oxWU,com.sec.android.app.shealth,,Sleep.Goal,2025-01-27 07:59:59.999,d0c664b1-735b-48ce-a6e0-26564d8ab945,
,2025-01-28 00:00:00.000,,,1,,2025-01-28 14:35:50.883,2025-01-28 14:35:50.883,,vitality_excellent,,,UTC+0000,,3sHRV5oxWU,com.sec.android.app.shealth,,tracker.vitality,2025-01-28 00:00:00.000,484c717e-0009-4ad9-8c06-b0d47efc2c55,
1,2025-01-30 08:00:00.000,,,1,,2025-01-30 14:55:02.517,2025-01-30 14:55:02.517,,sleep_excellent_sleep,,,UTC-0800,,3sHRV5oxWU,com.sec.android.app.shealth,,Sleep.Goal,2025-01-31 07:59:59.999,5f79f74b-4785-4001-af8f-6ecf96913f3f,
1,2025-01-31 08:00:00.000,,,1,,2025-01-31 14:42:30.239,2025-01-31 14:42:30.239,,sleep_excellent_sleep,,,UTC-0800,,3sHRV5oxWU,com.sec.android.app.shealth,,Sleep.Goal,2025-02-01 07:59:59.999,9598ebcd-d7d4-4919-8d07-98a478ced2a0,
1,2025-02-02 08:00:00.000,,,1,,2025-02-04 17:38:14.949,2025-02-04 17:38:14.949,,sleep_excellent_sleep,,,UTC-0800,,3sHRV5oxWU,com.sec.android.app.shealth,,Sleep.Goal,2025-02-03 07:59:59.999,be871da2-65f4-4926-824b-7258ee55eef5,
,2025-02-06 00:00:00.000,,,1,,2025-02-06 15:13:57.442,2025-02-06 15:13:57.442,,vitality_excellent,,,UTC+0000,,3sHRV5oxWU,com.sec.android.app.shealth,,tracker.vitality,2025-02-06 00:00:00.000,3f649bd6-3700-4deb-b550-d605063bb2a5,
1,2025-02-07 08:00:00.000,,,1,,2025-02-07 15:15:21.692,2025-02-07 15:15:21.692,,sleep_excellent_sleep,,,UTC-0800,,3sHRV5oxWU,com.sec.android.app.shealth,,Sleep.Goal,2025-02-08 07:59:59.999,590fc6ec-7fa6-449e-b8d8-cedecd2bd58a,
,2025-02-07 00:00:00.000,,,1,,2025-02-07 15:15:22.680,2025-02-07 15:15:22.680,,vitality_excellent,,,UTC+0000,,3sHRV5oxWU,com.sec.android.app.shealth,,tracker.vitality,2025-02-07 00:00:00.000,b27d4775-22c6-4937-9b0f-cbca528ea7b1,
1,2025-02-11 08:00:00.000,,,1,,2025-02-11 15:17:44.456,2025-02-11 15:17:44.456,,sleep_excellent_sleep,,,UTC-0800,,3sHRV5oxWU,com.sec.android.app.shealth,,Sleep.Goal,2025-02-12 07:59:59.999,89f18174-4495-4ee4-a81a-06f263c49806,
1,2025-02-12 08:00:00.000,,,1,,2025-02-12 15:05:48.825,2025-02-12 15:05:48.825,,sleep_excellent_sleep,,,UTC-0800,,3sHRV5oxWU,com.sec.android.app.shealth,,Sleep.Goal,2025-02-13 07:59:59.999,8fd58bc1-b09a-42ba-aa44-811cecd60520,
1,2025-02-13 08:00:00.000,,,1,,2025-02-13 14:48:20.079,2025-02-13 14:48:20.079,,sleep_excellent_sleep,,,UTC-0800,,3sHRV5oxWU,com.sec.android.app.shealth,,Sleep.Goal,2025-02-14 07:59:59.999,07720409-2df5-4aeb-be7b-ac4a24328760,
1,2025-02-14 08:00:00.000,,,1,,2025-02-14 15:53:39.034,2025-02-14 15:53:39.034,,sleep_excellent_sleep,,,UTC-0800,,3sHRV5oxWU,com.sec.android.app.shealth,,Sleep.Goal,2025-02-15 07:59:59.999,8a137f16-fd92-4d5c-93bf-45a477b6c5d4,
,2025-02-14 00:00:00.000,,,1,,2025-02-14 15:53:40.698,2025-02-14 15:53:40.698,,vitality_excellent,,,UTC+0000,,3sHRV5oxWU,com.sec.android.app.shealth,,tracker.vitality,2025-02-14 00:00:00.000,ef7c863b-3dc0-4231-8210-af6a687160d7,
7,2025-04-07 00:00:00.000,,,1,,2025-04-14 07:38:22.119,2025-04-08 07:00:16.668,,nutrition_7_days_streak,,,UTC-0700,,u104vMWe/c,com.sec.android.app.shealth,,goal.nutrition,2025-04-13 23:59:59.999,268dfe3d-9025-478f-b53c-d683459b1e69,
,2025-05-13 01:31:29.900,15007,,1,,2025-05-13 02:03:58.079,2025-05-13 02:03:09.412,,exercise_goal_first_achieve,,1,UTC-0700,,u104vMWe/c,com.sec.android.app.shealth,3746b8b0-fa69-4210-98fc-df37d4d66f34,tracker.exercise,2025-05-13 02:02:01.293,3e8f22b1-e5ce-45ac-ab09-8a4b87995c1a,
,2025-08-25 00:00:00.000,,,1,,2025-08-29 16:51:17.889,2025-08-29 16:51:17.889,,vitality_excellent,,,UTC+0000,,u104vMWe/c,com.sec.android.app.shealth,,tracker.vitality,2025-08-25 00:00:00.000,ba2e7f2b-c639-4947-9735-ee06ea4b76bf,
0,1970-01-01 00:00:00.000,,,0,,2025-08-29 16:51:17.401,2024-09-11 13:37:23.084,,sleep_3_days_streak,,,UTC-0700,"1756191599999,1",u104vMWe/c,com.sec.android.app.shealth,,Sleep.Goal,2025-08-26 06:59:59.999,a9cbe17d-1a3a-4361-a4ad-f4a365e78cfc,
3,2025-09-11 21:28:42.209,,,2,,2025-09-11 21:28:42.906,2024-10-25 16:46:40.530,,weight_1_month_streak,,,UTC-0700,,DA11Kl5+/r,com.sec.android.app.shealth,,tracker.weight,2025-09-11 21:28:42.209,7218cde0-8706-404a-b02a-69afc8c9ca65,
,2025-09-21 23:35:27.462,6002,,1,,2025-09-22 00:20:13.236,2025-09-22 00:20:13.236,,exercise_goal_first_achieve,,,UTC-0700,,DA11Kl5+/r,com.sec.android.app.shealth,2ca4aaff-41dc-4185-a042-33bbaba4b650,tracker.exercise,2025-09-22 00:20:12.762,47cfc3f0-5b0f-4eb3-bf9a-915b374aaeb0,
