com.samsung.shealth.stress,6307003,8
create_sh_ver,start_time,custom,binning_data,tag_id,modify_sh_ver,update_time,create_time,max,min,score,algorithm,time_offset,deviceuuid,comment,pkg_name,end_time,datauuid
62800471,2025-08-24 17:00:00.000,,96aaf3e1-925a-4f0f-9825-211e47dc905f.binning_data.json,10011,62800471,2025-08-24 18:05:31.597,2025-08-24 17:01:31.854,99.0,3.0,61.0,,UTC-0700,DA11Kl5+/r,,com.sec.android.app.shealth,2025-08-24 17:59:59.999,96aaf3e1-925a-4f0f-9825-211e47dc905f,
62800471,2025-08-25 19:00:00.000,,9c22b674-afc6-46b5-ae68-8599eda5a615.binning_data.json,10011,62800471,2025-08-25 20:01:03.556,2025-08-25 19:07:29.564,60.0,1.0,17.0,,UTC-0700,DA11Kl5+/r,,com.sec.android.app.shealth,2025-08-25 19:59:59.999,9c22b674-afc6-46b5-ae68-8599eda5a615,
62800471,2025-08-25 12:00:00.000,,04e9b5b2-ef97-4796-a89e-104556a62953.binning_data.json,10011,62800471,2025-08-25 13:06:37.621,2025-08-25 12:35:02.605,74.0,10.0,40.0,,UTC-0700,DA11Kl5+/r,,com.sec.android.app.shealth,2025-08-25 12:59:59.999,04e9b5b2-ef97-4796-a89e-104556a62953,
62800471,2025-08-25 00:00:00.000,,0f709e20-73ee-4e52-9935-0a62011904e7.binning_data.json,10011,62800471,2025-08-25 01:06:58.287,2025-08-25 00:02:47.904,76.0,0.0,26.0,,UTC-0700,DA11Kl5+/r,,com.sec.android.app.shealth,2025-08-25 00:59:59.999,0f709e20-73ee-4e52-9935-0a62011904e7,
62800471,2025-08-24 22:00:00.000,,21926e0f-f7c4-43ff-991f-c6b2958c141f.binning_data.json,10011,62800471,2025-08-24 23:57:49.780,2025-08-24 22:05:21.698,91.0,0.0,50.0,,UTC-0700,DA11Kl5+/r,,com.sec.android.app.shealth,2025-08-24 22:59:59.999,21926e0f-f7c4-43ff-991f-c6b2958c141f,
62800471,2025-08-25 21:00:00.000,,29d222b3-5f25-42f9-b743-5675b6c87531.binning_data.json,10011,62800471,2025-08-25 22:04:14.802,2025-08-25 21:01:03.590,97.0,3.0,52.0,,UTC-0700,DA11Kl5+/r,,com.sec.android.app.shealth,2025-08-25 21:59:59.999,29d222b3-5f25-42f9-b743-5675b6c87531,
62800471,2025-08-25 01:00:00.000,,e3defaf6-6f3c-4e06-ae00-a8210de4b023.binning_data.json,10011,62800471,2025-08-25 02:02:15.784,2025-08-25 01:10:06.283,91.0,0.0,43.0,,UTC-0700,DA11Kl5+/r,,com.sec.android.app.shealth,2025-08-25 01:59:59.999,e3defaf6-6f3c-4e06-ae00-a8210de4b023,
62800471,2025-08-24 23:00:00.000,,9d681fbc-c496-4a67-b59c-539508464cc5.binning_data.json,10011,62800471,2025-08-25 00:02:47.742,2025-08-24 23:57:49.934,3.0,1.0,1.0,,UTC-0700,DA11Kl5+/r,,com.sec.android.app.shealth,2025-08-24 23:59:59.999,9d681fbc-c496-4a67-b59c-539508464cc5,
62800471,2025-08-25 02:00:00.000,,e60629fc-195a-443f-b881-a788e6438228.binning_data.json,10011,62800471,2025-08-25 03:03:38.789,2025-08-25 02:02:16.042,98.0,1.0,40.0,,UTC-0700,DA11Kl5+/r,,com.sec.android.app.shealth,2025-08-25 02:59:59.999,e60629fc-195a-443f-b881-a788e6438228,
62800471,2025-08-25 04:00:00.000,,a0e6c0e7-f93a-4078-8005-24205e85f5c5.binning_data.json,10011,62800471,2025-08-25 12:35:02.079,2025-08-25 04:02:47.638,61.0,4.0,26.0,,UTC-0700,DA11Kl5+/r,,com.sec.android.app.shealth,2025-08-25 04:59:59.999,a0e6c0e7-f93a-4078-8005-24205e85f5c5,
62800471,2025-08-25 23:00:00.000,,fb48e62b-873d-4c78-9212-710f6643f3ff.binning_data.json,10011,62800471,2025-08-26 00:15:48.551,2025-08-25 23:08:32.670,98.0,26.0,87.0,,UTC-0700,DA11Kl5+/r,,com.sec.android.app.shealth,2025-08-25 23:59:59.999,fb48e62b-873d-4c78-9212-710f6643f3ff,
62800471,2025-08-27 00:00:00.000,,d728bd6f-8d43-423a-b8aa-96bd67548a17.binning_data.json,10011,62800471,2025-08-27 01:21:47.330,2025-08-27 00:02:13.023,92.0,0.0,26.0,,UTC-0700,DA11Kl5+/r,,com.sec.android.app.shealth,2025-08-27 00:59:59.999,d728bd6f-8d43-423a-b8aa-96bd67548a17,
62800471,2025-08-25 14:00:00.000,,a99626a0-541b-4fef-a9cc-32e51348285f.binning_data.json,10011,62800471,2025-08-25 15:01:07.708,2025-08-25 14:02:52.766,36.0,0.0,4.0,,UTC-0700,DA11Kl5+/r,,com.sec.android.app.shealth,2025-08-25 14:59:59.999,a99626a0-541b-4fef-a9cc-32e51348285f,
62800471,2025-08-25 17:00:00.000,,a15e92ff-2f52-43df-9e88-469568e87f80.binning_data.json,10011,62800471,2025-08-25 18:02:58.509,2025-08-25 17:33:05.793,46.0,1.0,19.0,,UTC-0700,DA11Kl5+/r,,com.sec.android.app.shealth,2025-08-25 17:59:59.999,a15e92ff-2f52-43df-9e88-469568e87f80,
62800471,2025-08-25 13:00:00.000,,0eade074-7e92-46e6-bea5-f402902a576e.binning_data.json,10011,62800471,2025-08-25 14:02:52.596,2025-08-25 13:06:37.695,81.0,0.0,21.0,,UTC-0700,DA11Kl5+/r,,com.sec.android.app.shealth,2025-08-25 13:59:59.999,0eade074-7e92-46e6-bea5-f402902a576e,
62800471,2025-08-26 02:00:00.000,,98e2506f-b846-40f2-83d5-7bd0cf657898.binning_data.json,10011,62800471,2025-08-26 02:12:09.668,2025-08-26 02:12:09.668,7.0,7.0,7.0,,UTC-0700,DA11Kl5+/r,,com.sec.android.app.shealth,2025-08-26 02:12:09.652,98e2506f-b846-40f2-83d5-7bd0cf657898,
62800471,2025-08-26 00:00:00.000,,bbababe1-f814-46c1-9b07-c5c6f2c0050b.binning_data.json,10011,62800471,2025-08-26 01:23:43.670,2025-08-26 00:15:48.626,72.0,0.0,30.0,,UTC-0700,DA11Kl5+/r,,com.sec.android.app.shealth,2025-08-26 00:59:59.999,bbababe1-f814-46c1-9b07-c5c6f2c0050b,
62800471,2025-08-25 20:00:00.000,,6cbf08a5-c2bc-4dce-8c45-b52565165294.binning_data.json,10011,62800471,2025-08-25 21:01:03.440,2025-08-25 20:01:03.637,98.0,0.0,38.0,,UTC-0700,DA11Kl5+/r,,com.sec.android.app.shealth,2025-08-25 20:59:59.999,6cbf08a5-c2bc-4dce-8c45-b52565165294,
62800471,2025-08-26 16:00:00.000,,9e37b36d-d099-4a39-b411-b29977a2607d.binning_data.json,10011,62800471,2025-08-26 17:08:44.283,2025-08-26 17:08:44.232,50.0,0.0,5.0,,UTC-0700,DA11Kl5+/r,,com.sec.android.app.shealth,2025-08-26 16:59:59.999,9e37b36d-d099-4a39-b411-b29977a2607d,
62800471,2025-08-25 18:00:00.000,,460bef68-91d0-4440-98da-6d639f63982c.binning_data.json,10011,62800471,2025-08-25 19:07:29.497,2025-08-25 18:02:58.623,96.0,0.0,32.0,,UTC-0700,DA11Kl5+/r,,com.sec.android.app.shealth,2025-08-25 18:59:59.999,460bef68-91d0-4440-98da-6d639f63982c,
62800471,2025-08-25 15:00:00.000,,3e82a08d-e5b4-4da1-b12b-85ce66453d1b.binning_data.json,10011,62800471,2025-08-25 16:03:06.432,2025-08-25 15:01:07.808,98.0,1.0,22.0,,UTC-0700,DA11Kl5+/r,,com.sec.android.app.shealth,2025-08-25 15:59:59.999,3e82a08d-e5b4-4da1-b12b-85ce66453d1b,
