com.samsung.health.skin_temperature,6307003,4
create_sh_ver,stat_m1,stat_m2,baseline,start_time,binning_data,stat_n,tag_id,modify_sh_ver,lower_bound,update_time,create_time,client_data_id,upper_bound,max,min,client_data_ver,temperature,time_offset,deviceuuid,comment,pkg_name,end_time,datauuid
,35.647564,1271.2815,35.796154,2024-05-29 04:43:00.000,7548a88f-94e4-4f43-9332-ad780c18e819.binning_data.json,473,31301,,34.379208,2024-05-30 15:03:05.447,2024-05-29 13:25:02.176,,37.213104,37.004494,33.626907,,35.647564,UTC-0700,b4nSrpWupN,,com.sec.android.app.shealth,2024-05-29 12:32:00.000,7548a88f-94e4-4f43-9332-ad780c18e819,
,35.00881,1226.067,35.71209,2024-05-31 06:24:00.000,29f1eac4-9008-4115-8949-75f01a340181.binning_data.json,180,31301,,34.186447,2024-05-31 17:53:38.152,2024-05-31 17:53:38.152,,37.237732,36.148884,33.914825,,35.00881,UTC-0700,b4nSrpWupN,,com.sec.android.app.shealth,2024-05-31 10:25:00.000,29f1eac4-9008-4115-8949-75f01a340181,
,35.0576,1229.8234,35.799126,2024-05-30 04:56:00.000,dcfecf85-e84f-45d9-9147-0e686b91138f.binning_data.json,583,31301,,34.389683,2024-05-31 17:53:44.800,2024-05-30 15:02:59.511,,37.208565,36.666172,33.08253,,35.0576,UTC-0700,b4nSrpWupN,,com.sec.android.app.shealth,2024-05-30 14:49:00.000,dcfecf85-e84f-45d9-9147-0e686b91138f,
,35.866436,1286.5259,35.687492,2024-06-01 00:53:00.000,62e5a4a2-678b-476d-a4e9-28266fe71059.binning_data.json,61,31301,,34.147747,2024-06-01 02:19:30.028,2024-06-01 02:19:30.028,,37.22724,36.514084,35.344242,,35.866436,UTC-0700,b4nSrpWupN,,com.sec.android.app.shealth,2024-06-01 02:14:00.000,62e5a4a2-678b-476d-a4e9-28266fe71059,
,35.39376,1252.9778,35.68959,2024-06-01 04:31:00.000,1d3cc70d-f2cf-4939-a591-2ddeb7725faa.binning_data.json,240,31301,,34.156593,2024-06-01 19:29:32.354,2024-06-01 19:29:32.354,,37.222588,36.482403,34.25697,,35.39376,UTC-0700,b4nSrpWupN,,com.sec.android.app.shealth,2024-06-01 09:21:00.000,1d3cc70d-f2cf-4939-a591-2ddeb7725faa,
,35.471428,1258.4231,35.67656,2024-06-02 06:47:00.000,a00ddc7c-e12e-4fc2-9686-19da1cb0dc74.binning_data.json,472,31301,,34.15846,2024-06-02 15:00:19.298,2024-06-02 15:00:19.298,,37.194656,36.33812,34.107525,,35.471428,UTC-0700,b4nSrpWupN,,com.sec.android.app.shealth,2024-06-02 15:00:00.000,a00ddc7c-e12e-4fc2-9686-19da1cb0dc74,
,35.51252,1261.4434,35.660202,2024-06-03 06:06:00.000,f979e38b-27b1-46be-a98e-8b08dce8d5e7.binning_data.json,412,31301,,34.178894,2024-06-04 17:09:52.084,2024-06-03 13:27:19.339,,37.14151,36.581154,34.11501,,35.51252,UTC-0700,b4nSrpWupN,,com.sec.android.app.shealth,2024-06-03 13:08:00.000,f979e38b-27b1-46be-a98e-8b08dce8d5e7,
,35.80909,1282.8398,35.650356,2024-06-30 06:46:00.000,512b2144-d064-40bd-ade8-85c22e6ec814.binning_data.json,517,31301,,34.19455,2024-07-01 14:15:21.837,2024-06-30 16:08:36.332,,37.106163,36.94893,34.131668,,35.80909,UTC-0700,b4nSrpWupN,,com.sec.android.app.shealth,2024-06-30 15:21:00.000,512b2144-d064-40bd-ade8-85c22e6ec814,
,36.185734,1309.693,35.67437,2024-07-01 07:12:00.000,0762d9ed-5355-4aec-a622-12a4e48d7a09.binning_data.json,120,31301,,34.36591,2024-07-01 14:15:21.875,2024-07-01 10:27:58.545,,36.98283,37.385433,35.198368,,36.185734,UTC-0700,b4nSrpWupN,,com.sec.android.app.shealth,2024-07-01 10:14:00.000,0762d9ed-5355-4aec-a622-12a4e48d7a09,
,36.14426,1306.6271,35.90445,2024-07-03 08:18:00.000,f039efd3-6468-4cc5-963f-b03ee522fd63.binning_data.json,296,31301,,34.56599,2024-07-03 13:31:10.815,2024-07-03 13:31:10.815,,37.242912,37.036648,34.954742,,36.14426,UTC-0700,b4nSrpWupN,,com.sec.android.app.shealth,2024-07-03 13:31:00.000,f039efd3-6468-4cc5-963f-b03ee522fd63,
,36.136356,1306.1831,35.988007,2024-07-04 07:02:00.000,8bd5f246-7095-40af-b4b8-d1b7c44ed55c.binning_data.json,355,31301,,34.72153,2024-07-04 13:43:13.175,2024-07-04 13:43:13.175,,37.254486,37.111526,34.44082,,36.136356,UTC-0700,b4nSrpWupN,,com.sec.android.app.shealth,2024-07-04 13:17:00.000,8bd5f246-7095-40af-b4b8-d1b7c44ed55c,
,36.73251,1349.6372,36.081993,2024-07-05 08:46:00.000,ce9fca14-2424-4082-8fa8-b4de9fbf94dc.binning_data.json,60,31301,,34.803947,2024-07-05 19:16:49.390,2024-07-05 19:16:49.390,,37.360043,37.525063,35.677425,,36.73251,UTC-0700,b4nSrpWupN,,com.sec.android.app.shealth,2024-07-05 10:21:00.000,ce9fca14-2424-4082-8fa8-b4de9fbf94dc,
,35.625732,1269.3849,35.650593,2024-06-04 15:37:00.000,69eda135-1c2a-4413-91f2-e222c72aaf02.binning_data.json,61,31301,,34.19023,2024-06-30 16:09:00.675,2024-06-04 17:09:49.043,,37.110954,36.16585,34.812855,,35.625732,UTC-0700,b4nSrpWupN,,com.sec.android.app.shealth,2024-06-04 16:42:00.000,69eda135-1c2a-4413-91f2-e222c72aaf02,
,36.175697,1308.8802,,2024-07-01 11:06:00.000,be490510-c7c0-4d06-9ecd-c3bbb30b1a18.binning_data.json,120,31301,,,2024-07-01 14:15:21.818,2024-07-01 14:15:18.724,,,36.868446,35.34694,,36.175697,UTC-0700,b4nSrpWupN,,com.sec.android.app.shealth,2024-07-01 13:57:00.000,be490510-c7c0-4d06-9ecd-c3bbb30b1a18,
,36.826572,1356.3058,36.02541,2024-07-04 15:18:00.000,dc41ea25-7b56-43ac-93e7-c2a610af169a.binning_data.json,107,31301,,34.779835,2024-07-05 21:53:17.862,2024-07-04 17:24:28.237,,37.27099,37.295616,36.105625,,36.826572,UTC-0700,b4nSrpWupN,,com.sec.android.app.shealth,2024-07-04 17:15:00.000,dc41ea25-7b56-43ac-93e7-c2a610af169a,
,35.542233,1263.6748,36.056114,2024-07-09 05:41:00.000,16c6e803-e424-4a4b-9c80-726b545319d8.binning_data.json,420,31301,,34.782112,2024-07-09 13:37:41.995,2024-07-09 13:37:41.995,,37.330116,36.74096,33.7422,,35.542233,UTC-0700,b4nSrpWupN,,com.sec.android.app.shealth,2024-07-09 13:37:00.000,16c6e803-e424-4a4b-9c80-726b545319d8,
