com.samsung.health.floors_climbed,6307003,7
start_time,custom,update_time,create_time,client_data_id,client_data_ver,floor,raw_data,time_offset,deviceuuid,pkg_name,end_time,datauuid
2024-04-29 20:24:19.732,,2024-04-29 21:55:22.940,2024-04-29 21:55:22.940,,,1.0,7b49346f-3dab-4700-b1fa-84ee76a75cbf.raw_data.json,UTC-0700,b4nSrpWupN,com.sec.android.app.shealth,2024-04-29 21:55:22.906,7b49346f-3dab-4700-b1fa-84ee76a75cbf,
2024-04-30 14:05:35.576,,2024-04-30 14:37:11.484,2024-04-30 14:37:11.484,,,1.0,0b627883-f366-43f1-a8df-2c97acbbca39.raw_data.json,UTC-0700,b4nSrpWupN,com.sec.android.app.shealth,2024-04-30 14:36:33.000,0b627883-f366-43f1-a8df-2c97acbbca39,
2024-04-30 14:55:19.579,,2024-04-30 15:32:29.422,2024-04-30 15:32:29.422,,,2.0,2d256ea0-9504-41a1-956d-a766471eff33.raw_data.json,UTC-0700,b4nSrpWupN,com.sec.android.app.shealth,2024-04-30 15:30:31.000,2d256ea0-9504-41a1-956d-a766471eff33,
2024-04-30 16:35:02.628,,2024-04-30 18:16:24.482,2024-04-30 18:16:24.482,,,1.0,8763d86a-4a62-4e6e-b760-9a34522e3f81.raw_data.json,UTC-0700,b4nSrpWupN,com.sec.android.app.shealth,2024-04-30 18:16:24.418,8763d86a-4a62-4e6e-b760-9a34522e3f81,
2024-04-30 19:56:41.539,,2024-04-30 20:08:25.818,2024-04-30 20:08:25.818,,,1.0,504303c9-59b3-48bd-941f-11e6dfa56c1d.raw_data.json,UTC-0700,b4nSrpWupN,com.sec.android.app.shealth,2024-04-30 20:02:06.000,504303c9-59b3-48bd-941f-11e6dfa56c1d,
2024-04-30 20:15:46.880,,2024-04-30 21:12:27.353,2024-04-30 21:11:59.948,,,1.0,137ff9e8-a337-4409-95b3-acfb5eeace90.raw_data.json,UTC-0700,b4nSrpWupN,com.sec.android.app.shealth,2024-04-30 21:11:59.897,137ff9e8-a337-4409-95b3-acfb5eeace90,
2024-05-01 07:10:43.856,,2024-05-01 15:50:40.864,2024-05-01 15:50:35.399,,,1.0,7dcf1f36-d373-4115-a685-53b8b1f98fb4.raw_data.json,UTC-0700,b4nSrpWupN,com.sec.android.app.shealth,2024-05-01 15:50:35.298,7dcf1f36-d373-4115-a685-53b8b1f98fb4,
2024-05-02 05:21:02.740,,2024-05-02 06:09:05.291,2024-05-02 06:09:05.291,,,1.0,39890245-87ed-475a-bc22-dd5faa89f5e3.raw_data.json,UTC-0700,b4nSrpWupN,com.sec.android.app.shealth,2024-05-02 05:23:04.000,39890245-87ed-475a-bc22-dd5faa89f5e3,
2024-05-08 10:27:53.555,,2024-05-08 15:55:54.214,2024-05-08 15:55:54.214,,,2.0,00552111-3a12-4d70-a4d2-7d77ebd6f55d.raw_data.json,UTC-0700,b4nSrpWupN,com.sec.android.app.shealth,2024-05-08 15:55:53.786,00552111-3a12-4d70-a4d2-7d77ebd6f55d,
2024-05-09 00:23:10.452,,2024-05-09 01:52:04.399,2024-05-09 01:52:04.399,,,1.0,fb9ac884-8933-4679-876a-3e01be6b97e0.raw_data.json,UTC-0700,b4nSrpWupN,com.sec.android.app.shealth,2024-05-09 00:53:49.001,fb9ac884-8933-4679-876a-3e01be6b97e0,
2024-05-09 07:00:03.278,,2024-05-09 07:12:56.428,2024-05-09 07:12:56.428,,,1.0,915dd4d4-bf28-41b3-80b1-d79cf6d8c513.raw_data.json,UTC-0700,b4nSrpWupN,com.sec.android.app.shealth,2024-05-09 07:08:23.000,915dd4d4-bf28-41b3-80b1-d79cf6d8c513,
2024-05-09 19:36:25.465,,2024-05-09 20:09:06.400,2024-05-09 20:09:02.685,,,1.0,780e9e67-8b6e-45a7-be98-995dfd10a635.raw_data.json,UTC-0700,b4nSrpWupN,com.sec.android.app.shealth,2024-05-09 20:09:02.484,780e9e67-8b6e-45a7-be98-995dfd10a635,
2024-05-10 18:26:47.413,,2024-05-10 18:55:17.550,2024-05-10 18:55:17.550,,,1.0,ef0953b6-04b1-45c9-bf9d-377422429383.raw_data.json,UTC-0700,b4nSrpWupN,com.sec.android.app.shealth,2024-05-10 18:54:15.000,ef0953b6-04b1-45c9-bf9d-377422429383,
2024-05-10 20:08:07.669,,2024-05-10 20:49:25.624,2024-05-10 20:49:25.624,,,1.0,20c9a1da-80d8-4268-b91d-826e2f36418c.raw_data.json,UTC-0700,b4nSrpWupN,com.sec.android.app.shealth,2024-05-10 20:49:25.560,20c9a1da-80d8-4268-b91d-826e2f36418c,
2024-05-11 20:56:41.776,,2024-05-11 22:57:47.152,2024-05-11 22:57:47.152,,,1.0,030b3f95-4050-47e2-b689-8ad636a9b721.raw_data.json,UTC-0700,b4nSrpWupN,com.sec.android.app.shealth,2024-05-11 22:57:47.075,030b3f95-4050-47e2-b689-8ad636a9b721,
2024-05-15 12:01:41.554,,2024-05-15 16:45:14.975,2024-05-15 16:45:14.975,,,1.0,efe606ee-7d29-4133-9318-67d2c0a7a37d.raw_data.json,UTC-0700,b4nSrpWupN,com.sec.android.app.shealth,2024-05-15 15:53:17.001,efe606ee-7d29-4133-9318-67d2c0a7a37d,
2024-05-15 22:33:42.859,,2024-05-15 22:52:41.616,2024-05-15 22:52:41.616,,,1.0,1c7911e7-b47e-44f9-8be5-b46792df7402.raw_data.json,UTC-0700,b4nSrpWupN,com.sec.android.app.shealth,2024-05-15 22:52:41.577,1c7911e7-b47e-44f9-8be5-b46792df7402,
2024-05-14 13:32:50.179,,2024-05-14 14:34:23.410,2024-05-14 14:34:23.410,,,2.0,0c74fa66-50df-4c3e-af59-bd43cf4a0a7f.raw_data.json,UTC-0700,b4nSrpWupN,com.sec.android.app.shealth,2024-05-14 14:16:47.001,0c74fa66-50df-4c3e-af59-bd43cf4a0a7f,
2024-05-14 19:01:05.249,,2024-05-14 19:17:43.654,2024-05-14 19:17:43.654,,,1.0,9a5fe806-fe3c-4230-af9f-a0225ba265f4.raw_data.json,UTC-0700,b4nSrpWupN,com.sec.android.app.shealth,2024-05-14 19:16:49.000,9a5fe806-fe3c-4230-af9f-a0225ba265f4,
2024-05-16 03:34:55.295,,2024-05-16 04:13:44.275,2024-05-16 04:13:33.496,,,1.0,d4fb2aa6-a91e-4bf8-a97c-0e3c201484ad.raw_data.json,UTC-0700,b4nSrpWupN,com.sec.android.app.shealth,2024-05-16 04:13:08.000,d4fb2aa6-a91e-4bf8-a97c-0e3c201484ad,
2024-05-19 05:31:39.815,,2024-05-19 06:09:21.661,2024-05-19 06:09:21.661,,,1.0,50feb9f8-3eaf-4f33-8bd7-edfa98841b83.raw_data.json,UTC-0700,b4nSrpWupN,com.sec.android.app.shealth,2024-05-19 05:57:12.001,50feb9f8-3eaf-4f33-8bd7-edfa98841b83,
2024-05-19 05:57:12.001,,2024-05-19 06:09:21.727,2024-05-19 06:09:21.727,,,1.0,375e3d4b-5fa9-42f4-829d-402f0c31f440.raw_data.json,UTC-0700,b4nSrpWupN,com.sec.android.app.shealth,2024-05-19 06:00:26.000,375e3d4b-5fa9-42f4-829d-402f0c31f440,
2024-05-27 02:57:01.351,,2024-05-27 04:35:36.664,2024-05-27 04:35:36.664,,,1.0,347351b2-d539-4d24-9139-ee2a50bdcca4.raw_data.json,UTC-0700,b4nSrpWupN,com.sec.android.app.shealth,2024-05-27 04:35:36.607,347351b2-d539-4d24-9139-ee2a50bdcca4,
2024-05-27 20:02:49.963,,2024-05-27 20:15:08.202,2024-05-27 20:15:06.078,,,1.0,21493ba3-f354-461c-b5b3-a2a134680e80.raw_data.json,UTC-0700,b4nSrpWupN,com.sec.android.app.shealth,2024-05-27 20:15:06.020,21493ba3-f354-461c-b5b3-a2a134680e80,
2024-05-28 02:18:11.210,,2024-05-28 05:50:53.836,2024-05-28 05:50:53.836,,,1.0,4958281c-24ff-492b-87e9-3c619037efad.raw_data.json,UTC-0700,b4nSrpWupN,com.sec.android.app.shealth,2024-05-28 05:49:19.000,4958281c-24ff-492b-87e9-3c619037efad,
2024-05-28 15:11:37.972,,2024-05-28 15:38:12.356,2024-05-28 15:38:12.356,,,1.0,ec0fd8f2-89d5-4366-82be-b48165f7dbfc.raw_data.json,UTC-0700,b4nSrpWupN,com.sec.android.app.shealth,2024-05-28 15:25:08.000,ec0fd8f2-89d5-4366-82be-b48165f7dbfc,
2024-05-28 15:48:50.100,,2024-05-28 17:36:29.202,2024-05-28 17:36:29.202,,,1.0,2a7edc99-7f88-4685-8f16-c0b79895ca09.raw_data.json,UTC-0700,b4nSrpWupN,com.sec.android.app.shealth,2024-05-28 17:36:29.131,2a7edc99-7f88-4685-8f16-c0b79895ca09,
2024-05-28 18:13:51.884,,2024-05-28 18:58:18.352,2024-05-28 18:58:18.352,,,2.0,23dc141b-8f76-4e46-b596-6a4d8bbab793.raw_data.json,UTC-0700,b4nSrpWupN,com.sec.android.app.shealth,2024-05-28 18:58:18.318,23dc141b-8f76-4e46-b596-6a4d8bbab793,
2024-05-31 21:55:29.272,,2024-05-31 22:03:30.629,2024-05-31 22:03:30.629,,,1.0,74fb1aef-bd2f-4245-91eb-fc9379518a9e.raw_data.json,UTC-0700,b4nSrpWupN,com.sec.android.app.shealth,2024-05-31 21:57:40.000,74fb1aef-bd2f-4245-91eb-fc9379518a9e,
2024-06-01 23:55:07.108,,2024-06-02 00:13:41.593,2024-06-02 00:13:41.593,,,1.0,519d2862-4c10-4fa0-ba1b-86e83b38b7da.raw_data.json,UTC-0700,b4nSrpWupN,com.sec.android.app.shealth,2024-06-01 23:57:37.000,519d2862-4c10-4fa0-ba1b-86e83b38b7da,
2024-06-03 02:35:55.213,,2024-06-03 03:19:36.600,2024-06-03 03:19:36.600,,,1.0,74bed27d-bd6f-43b2-af6d-780be4e0a9ea.raw_data.json,UTC-0700,b4nSrpWupN,com.sec.android.app.shealth,2024-06-03 03:16:43.000,74bed27d-bd6f-43b2-af6d-780be4e0a9ea,
2024-06-03 18:56:03.194,,2024-06-03 19:07:32.479,2024-06-03 19:07:32.479,,,4.0,8088d336-fd97-4961-8871-d3b8f5e4f72e.raw_data.json,UTC-0700,b4nSrpWupN,com.sec.android.app.shealth,2024-06-03 19:07:32.417,8088d336-fd97-4961-8871-d3b8f5e4f72e,
2024-06-03 21:49:47.160,,2024-06-03 22:04:32.434,2024-06-03 22:04:32.434,,,2.0,2b934b00-042d-46b4-8897-9d18188949b2.raw_data.json,UTC-0700,b4nSrpWupN,com.sec.android.app.shealth,2024-06-03 21:51:44.000,2b934b00-042d-46b4-8897-9d18188949b2,
