com.samsung.shealth.program.sleep_coaching.mission,6307003,3
create_sh_ver,answer,priority,modify_sh_ver,update_time,create_time,data_version,day_index,mission_id,deviceuuid,pkg_name,is_key_habit,session_id,datauuid,is_done
62670070,null,3,62670070,2024-07-13 17:30:18.161,2024-07-13 17:30:18.161,2,8,HB_03,3sHRV5oxWU,com.sec.android.app.shealth,0,be1bf15d-a712-4720-b630-d99311cacc96,7641d59c-0262-4b14-a6ce-f6fa1a292b19,0,
62670070,null,11,62670070,2024-07-13 17:30:18.161,2024-07-13 17:30:18.161,2,8,HB_11,3sHRV5oxWU,com.sec.android.app.shealth,0,be1bf15d-a712-4720-b630-d99311cacc96,fd799596-4783-4dd2-a219-5960629c6f09,0,
62670070,null,11,62670070,2024-07-13 17:30:18.160,2024-07-13 17:30:18.160,2,7,HB_11,3sHRV5oxWU,com.sec.android.app.shealth,0,be1bf15d-a712-4720-b630-d99311cacc96,e815a67b-a3d7-4396-a2a1-8d536c14d4b5,0,
62670070,null,10,62670070,2024-07-13 17:30:18.161,2024-07-13 17:30:18.161,2,9,HB_10,3sHRV5oxWU,com.sec.android.app.shealth,1,be1bf15d-a712-4720-b630-d99311cacc96,438fa588-be85-4caf-8cb1-a4299993e6ce,0,
62670070,null,9,62670070,2024-07-13 17:30:18.162,2024-07-13 17:30:18.162,2,9,HB_09,3sHRV5oxWU,com.sec.android.app.shealth,0,be1bf15d-a712-4720-b630-d99311cacc96,2b389950-de50-46d7-acb4-2b8e2506fd97,0,
62670070,null,10,62670070,2024-07-13 17:30:18.160,2024-07-13 17:30:18.160,2,7,HB_10,3sHRV5oxWU,com.sec.android.app.shealth,1,be1bf15d-a712-4720-b630-d99311cacc96,70188e5c-b3f0-4a88-905b-ba0b14926d8a,0,
62670070,null,10,62670070,2024-07-13 17:30:18.162,2024-07-13 17:30:18.162,2,10,HB_10,3sHRV5oxWU,com.sec.android.app.shealth,1,be1bf15d-a712-4720-b630-d99311cacc96,7efc5cbd-038e-42f5-a671-5907ada15253,0,
62670070,null,5,62670070,2024-07-13 17:30:18.162,2024-07-13 17:30:18.162,2,9,HB_05,3sHRV5oxWU,com.sec.android.app.shealth,0,be1bf15d-a712-4720-b630-d99311cacc96,81e17d49-1dc8-4fec-890d-9bfc65c60180,0,
62670070,null,6,62670070,2024-07-13 17:30:18.162,2024-07-13 17:30:18.162,2,9,HB_06,3sHRV5oxWU,com.sec.android.app.shealth,0,be1bf15d-a712-4720-b630-d99311cacc96,eaf226fa-78c0-47ac-bd68-8b2bc04576ed,0,
62670070,null,11,62670070,2024-07-13 17:30:18.161,2024-07-13 17:30:18.161,2,9,HB_11,3sHRV5oxWU,com.sec.android.app.shealth,0,be1bf15d-a712-4720-b630-d99311cacc96,701c1893-56b8-4827-b78c-9d5c35468967,0,
